window_key,window_start,window_kind,score,cap_reason,damage,swell_hgt_ft,swell_per_s,swell_dir,wind_energy_48h,swell_energy_72h,dry_hours,cloud_pct,kd490
20250809T0600-dawn,2025-08-09T06:00:00-07:00,dawn,5.6,,3.42,2.2,11.3,188,305,3806,72,100,
20250809T1730-dusk,2025-08-09T17:30:00-07:00,dusk,7.2,,2.13,2.2,14.3,193,375,3481,72,8,
20250810T0600-dawn,2025-08-10T06:00:00-07:00,dawn,5.5,,3.91,2.8,13.0,191,346,3281,72,100,
20250810T1730-dusk,2025-08-10T17:30:00-07:00,dusk,6.0,,4.41,2.8,12.3,184,422,3367,72,5,
20250811T0600-dawn,2025-08-11T06:00:00-07:00,dawn,6.6,,2.6,2.3,13.1,198,338,3551,72,76,
20250811T1730-dusk,2025-08-11T17:30:00-07:00,dusk,7.5,,1.79,2.4,14.2,205,442,3632,72,0,
20250812T0600-dawn,2025-08-12T06:00:00-07:00,dawn,6.1,,2.75,3.0,14.1,202,425,4164,72,75,
20250812T1730-dusk,2025-08-12T17:30:00-07:00,dusk,4.3,,8.0,3.6,11.7,193,518,4629,72,0,
20250813T0600-dawn,2025-08-13T06:00:00-07:00,dawn,3.4,,7.85,3.5,11.7,189,448,4648,72,100,
20250813T1730-dusk,2025-08-13T17:30:00-07:00,dusk,4.6,,6.93,3.2,11.2,189,435,4534,72,3,
20250814T0600-dawn,2025-08-14T06:00:00-07:00,dawn,3.8,,6.62,3.0,10.8,190,420,4212,72,100,
20250814T1730-dusk,2025-08-14T17:30:00-07:00,dusk,6.1,,3.97,2.3,10.9,187,454,3865,72,18,
20250815T0600-dawn,2025-08-15T06:00:00-07:00,dawn,3.6,,8.93,2.5,7.7,214,565,3323,72,77,
20250815T1730-dusk,2025-08-15T17:30:00-07:00,dusk,6.2,,3.61,2.2,11.0,190,764,2939,72,30,
20250816T0600-dawn,2025-08-16T06:00:00-07:00,dawn,5.7,,3.54,2.2,10.8,188,677,2430,72,100,
20250816T1730-dusk,2025-08-16T17:30:00-07:00,dusk,7.2,,2.98,2.0,10.7,187,661,2106,72,0,
20250817T0600-dawn,2025-08-17T06:00:00-07:00,dawn,6.6,,2.81,1.9,10.8,188,464,1790,72,93,
20250817T1730-dusk,2025-08-17T17:30:00-07:00,dusk,7.7,,2.5,1.9,11.0,188,446,1623,72,0,
20250818T0600-dawn,2025-08-18T06:00:00-07:00,dawn,6.5,,3.13,1.7,9.6,185,346,1465,72,100,
20250818T1730-dusk,2025-08-18T17:30:00-07:00,dusk,7.9,,2.38,1.7,10.5,186,375,1589,72,2,
20250819T0600-dawn,2025-08-19T06:00:00-07:00,dawn,7.3,,1.86,1.9,12.5,193,260,1635,72,100,
20250819T1730-dusk,2025-08-19T17:30:00-07:00,dusk,8.2,,1.8,1.8,12.4,193,314,1575,72,0,
20250820T0600-dawn,2025-08-20T06:00:00-07:00,dawn,7.1,,2.75,2.2,12.0,192,248,1725,72,80,
20250820T1730-dusk,2025-08-20T17:30:00-07:00,dusk,6.6,,3.24,2.4,12.6,188,299,1962,72,69,
20250821T0600-dawn,2025-08-21T06:00:00-07:00,dawn,6.2,,3.41,2.4,12.0,189,254,2220,72,99,
20250821T1730-dusk,2025-08-21T17:30:00-07:00,dusk,6.6,,3.37,2.2,11.2,189,280,2166,72,75,
20250822T0600-dawn,2025-08-22T06:00:00-07:00,dawn,7.1,,3.54,2.5,12.4,186,249,2215,72,28,
20250822T1730-dusk,2025-08-22T17:30:00-07:00,dusk,7.4,,2.69,1.7,10.2,187,342,2195,72,7,
20250823T0600-dawn,2025-08-23T06:00:00-07:00,dawn,7.0,,2.99,1.7,9.4,185,301,2033,72,73,
20250823T1730-dusk,2025-08-23T17:30:00-07:00,dusk,7.0,,3.09,1.9,10.6,187,412,1857,72,18,
20250824T0600-dawn,2025-08-24T06:00:00-07:00,dawn,8.3,,1.27,1.7,13.1,194,355,1772,72,53,
20250824T1730-dusk,2025-08-24T17:30:00-07:00,dusk,7.8,,2.26,1.8,10.9,189,389,1839,72,1,
20250825T0600-dawn,2025-08-25T06:00:00-07:00,dawn,8.4,,1.06,2.0,15.1,191,308,2031,72,57,
20250825T1730-dusk,2025-08-25T17:30:00-07:00,dusk,8.3,,1.48,2.0,13.6,190,341,2200,72,1,
20250826T0600-dawn,2025-08-26T06:00:00-07:00,dawn,6.9,,3.4,2.7,13.2,186,293,2577,72,48,
20250826T1730-dusk,2025-08-26T17:30:00-07:00,dusk,6.9,,3.4,2.4,12.2,186,357,2665,72,1,
20250827T0600-dawn,2025-08-27T06:00:00-07:00,dawn,6.9,,3.82,2.6,12.2,185,273,2539,72,0,
20250827T1730-dusk,2025-08-27T17:30:00-07:00,dusk,5.8,,4.89,2.8,11.9,183,343,2603,72,48,
20250828T0600-dawn,2025-08-28T06:00:00-07:00,dawn,4.1,,7.72,3.3,10.7,176,292,2803,72,100,
20250828T1730-dusk,2025-08-28T17:30:00-07:00,dusk,3.8,,11.92,3.1,8.6,177,270,2975,72,20,
20250829T0600-dawn,2025-08-29T06:00:00-07:00,dawn,6.6,,4.21,2.5,11.5,181,210,3165,72,0,
20250829T1730-dusk,2025-08-29T17:30:00-07:00,dusk,3.6,,11.53,3.5,10.0,181,340,3090,72,0,
20250830T0600-dawn,2025-08-30T06:00:00-07:00,dawn,3.6,,12.53,3.4,9.6,180,283,3372,72,0,
20250830T1730-dusk,2025-08-30T17:30:00-07:00,dusk,3.8,,10.27,2.9,8.8,181,339,3478,72,0,
20250831T0600-dawn,2025-08-31T06:00:00-07:00,dawn,7.9,,1.51,2.4,15.2,192,282,3581,72,18,
20250831T1730-dusk,2025-08-31T17:30:00-07:00,dusk,6.1,,3.62,3.2,13.7,190,367,3667,72,0,
20250901T0600-dawn,2025-09-01T06:00:00-07:00,dawn,5.2,,6.03,3.7,13.3,189,340,4072,72,0,
20250901T1730-dusk,2025-09-01T17:30:00-07:00,dusk,3.6,,6.36,3.3,12.5,188,385,4366,72,98,
20250902T0600-dawn,2025-09-02T06:00:00-07:00,dawn,5.6,,4.64,3.0,12.9,185,363,4278,72,53,
20250902T1730-dusk,2025-09-02T17:30:00-07:00,dusk,5.2,,5.45,2.8,11.8,187,516,4076,72,0,
20250903T0600-dawn,2025-09-03T06:00:00-07:00,dawn,5.7,,4.28,2.5,11.1,187,407,3717,72,71,
20250903T1730-dusk,2025-09-03T17:30:00-07:00,dusk,6.3,,3.58,2.1,10.5,180,398,3398,72,0,
20250904T0600-dawn,2025-09-04T06:00:00-07:00,dawn,5.8,,4.46,2.9,12.7,187,322,3265,72,74,
20250904T1730-dusk,2025-09-04T17:30:00-07:00,dusk,5.7,,4.8,2.6,12.7,184,439,3295,72,0,
20250905T0600-dawn,2025-09-05T06:00:00-07:00,dawn,5.4,,5.15,3.0,12.4,186,356,3389,72,72,
20250905T1730-dusk,2025-09-05T17:30:00-07:00,dusk,5.4,,5.37,2.9,11.6,184,397,3438,72,5,
20250906T0600-dawn,2025-09-06T06:00:00-07:00,dawn,4.8,,5.22,3.0,12.0,184,322,3354,72,100,
20250906T1730-dusk,2025-09-06T17:30:00-07:00,dusk,5.6,,5.43,2.9,11.6,183,328,3366,72,1,
20250907T0600-dawn,2025-09-07T06:00:00-07:00,dawn,6.3,,4.69,2.7,11.4,182,266,3202,72,8,
20250907T1730-dusk,2025-09-07T17:30:00-07:00,dusk,6.2,,4.45,2.4,10.8,181,326,2999,72,0,
20250908T0600-dawn,2025-09-08T06:00:00-07:00,dawn,6.8,,4.1,2.4,11.0,180,253,2619,72,7,
20250908T1730-dusk,2025-09-08T17:30:00-07:00,dusk,6.1,,4.59,2.1,9.9,181,441,2453,72,5,
20250909T0600-dawn,2025-09-09T06:00:00-07:00,dawn,6.8,,2.17,1.9,11.9,188,371,2429,72,92,
20250909T1730-dusk,2025-09-09T17:30:00-07:00,dusk,7.3,,2.33,2.2,13.0,192,531,2458,72,20,
20250910T0600-dawn,2025-09-10T06:00:00-07:00,dawn,6.5,,3.6,2.4,11.9,190,440,2442,72,69,
20250910T1730-dusk,2025-09-10T17:30:00-07:00,dusk,7.2,,2.74,2.0,11.3,194,556,2433,72,11,
20250911T0600-dawn,2025-09-11T06:00:00-07:00,dawn,6.7,,3.1,2.2,11.7,194,398,2282,72,75,
20250911T1730-dusk,2025-09-11T17:30:00-07:00,dusk,7.6,,2.38,1.9,11.7,194,451,2139,72,10,
20250912T0600-dawn,2025-09-12T06:00:00-07:00,dawn,6.0,,5.27,2.3,4.5,268,372,2092,72,49,
20250912T1730-dusk,2025-09-12T17:30:00-07:00,dusk,6.6,,4.29,1.9,5.8,252,514,1979,72,0,
20250913T0600-dawn,2025-09-13T06:00:00-07:00,dawn,6.7,,4.28,2.1,9.7,209,395,1923,72,23,
20250913T1730-dusk,2025-09-13T17:30:00-07:00,dusk,7.6,,2.37,2.0,12.3,192,465,1929,72,23,
20250914T0600-dawn,2025-09-14T06:00:00-07:00,dawn,6.7,,2.62,2.1,12.2,191,331,1906,72,100,
20250914T1730-dusk,2025-09-14T17:30:00-07:00,dusk,7.5,,2.78,2.2,12.0,189,345,1964,72,7,
20250915T0600-dawn,2025-09-15T06:00:00-07:00,dawn,6.5,,2.94,2.2,11.9,187,280,1963,72,100,
20250915T1730-dusk,2025-09-15T17:30:00-07:00,dusk,7.3,,3.32,2.3,11.5,187,268,2029,72,3,
