window_key,window_start,window_kind,score,cap_reason,damage,swell_hgt_ft,swell_per_s,swell_dir,wind_energy_48h,swell_energy_72h,dry_hours,cloud_pct,kd490
20250815T0600-dawn,2025-08-15T06:00:00-07:00,dawn,7.5,,3.45,2.0,7.5,43,514,642,72,28,0.0864
20250815T1730-dusk,2025-08-15T17:30:00-07:00,dusk,6.6,,3.95,2.0,7.5,37,413,738,72,75,0.0864
20250816T0600-dawn,2025-08-16T06:00:00-07:00,dawn,7.7,,3.05,1.6,7.6,38,408,834,72,25,0.0864
20250816T1730-dusk,2025-08-16T17:30:00-07:00,dusk,7.5,,2.81,1.5,7.2,38,495,865,72,39,0.0864
20250817T0600-dawn,2025-08-17T06:00:00-07:00,dawn,7.7,,2.67,1.2,6.5,54,611,917,72,25,0.0864
20250817T1730-dusk,2025-08-17T17:30:00-07:00,dusk,7.5,,1.78,1.5,5.4,82,803,927,72,67,0.0864
20250818T0600-dawn,2025-08-18T06:00:00-07:00,dawn,7.3,,2.87,1.8,5.3,53,677,865,72,62,0.0372
20250818T1730-dusk,2025-08-18T17:30:00-07:00,dusk,8.1,,2.16,1.8,5.6,69,550,805,72,39,0.0372
20250819T0600-dawn,2025-08-19T06:00:00-07:00,dawn,7.6,,2.08,1.6,5.7,68,395,709,72,86,0.0337
20250819T1730-dusk,2025-08-19T17:30:00-07:00,dusk,8.2,,1.98,1.7,5.7,76,395,682,72,16,0.0337
20250820T0600-dawn,2025-08-20T06:00:00-07:00,dawn,8.8,,1.3,1.2,5.2,83,466,622,72,15,0.4401
20250820T1730-dusk,2025-08-20T17:30:00-07:00,dusk,7.7,,1.4,1.3,5.4,83,580,551,72,86,0.4401
20250821T0600-dawn,2025-08-21T06:00:00-07:00,dawn,8.3,,1.29,1.0,5.7,99,640,515,72,72,0.4401
20250821T1730-dusk,2025-08-21T17:30:00-07:00,dusk,7.9,,1.33,1.4,5.2,83,674,520,72,80,0.4401
20250822T0600-dawn,2025-08-22T06:00:00-07:00,dawn,8.6,,1.03,1.2,5.5,84,619,511,72,59,0.4401
20250822T1730-dusk,2025-08-22T17:30:00-07:00,dusk,8.8,,1.01,1.3,5.5,89,578,504,72,10,0.4401
20250823T0600-dawn,2025-08-23T06:00:00-07:00,dawn,8.9,,1.21,1.5,5.3,87,563,520,72,13,0.069
20250823T1730-dusk,2025-08-23T17:30:00-07:00,dusk,8.8,,0.98,1.3,6.0,88,506,519,72,16,0.069
20250824T0600-dawn,2025-08-24T06:00:00-07:00,dawn,8.9,,1.3,1.6,6.3,93,441,510,72,15,0.069
20250824T1730-dusk,2025-08-24T17:30:00-07:00,dusk,8.9,,1.08,1.4,6.6,97,460,544,72,19,0.069
20250825T0600-dawn,2025-08-25T06:00:00-07:00,dawn,9.2,,0.83,1.4,6.3,93,411,540,72,13,0.0306
