window_key,window_start,window_kind,score,cap_reason,damage,swell_hgt_ft,swell_per_s,swell_dir,wind_energy_48h,swell_energy_72h,dry_hours,cloud_pct,kd490
20250815T0600-dawn,2025-08-15T06:00:00-07:00,dawn,4.0,"post-rain (12h since ≥0.2"")",2.77,2.8,6.1,97,433,2199,12,31,
20250815T1730-dusk,2025-08-15T17:30:00-07:00,dusk,4.0,"post-rain (23h since ≥0.2"")",2.58,2.7,7.2,92,450,1955,23,31,
20250816T0600-dawn,2025-08-16T06:00:00-07:00,dawn,4.0,"post-rain (36h since ≥0.2"")",2.71,2.6,8.2,93,330,1837,36,0,
20250816T1730-dusk,2025-08-16T17:30:00-07:00,dusk,4.0,"post-rain (47h since ≥0.2"")",3.74,3.2,7.5,91,328,2061,47,14,
20250817T0600-dawn,2025-08-17T06:00:00-07:00,dawn,4.0,"post-rain (60h since ≥0.2"")",1.95,2.4,8.6,92,228,2381,60,1,
20250817T1730-dusk,2025-08-17T17:30:00-07:00,dusk,4.0,"post-rain (71h since ≥0.2"")",3.14,2.9,7.5,94,200,2829,71,93,
20250818T0600-dawn,2025-08-18T06:00:00-07:00,dawn,6.5,,2.91,4.3,7.0,150,346,4059,72,61,
20250818T1730-dusk,2025-08-18T17:30:00-07:00,dusk,4.0,"post-rain (1h since ≥0.2"")",2.34,3.7,6.4,144,262,4088,1,30,
20250819T0600-dawn,2025-08-19T06:00:00-07:00,dawn,4.0,"post-rain (1h since ≥0.2"")",2.24,3.7,7.2,144,322,3742,1,94,
20250819T1730-dusk,2025-08-19T17:30:00-07:00,dusk,4.0,"post-rain (1h since ≥0.2"")",4.37,4.8,8.1,131,276,3767,1,97,
20250820T0600-dawn,2025-08-20T06:00:00-07:00,dawn,3.7,"post-rain (1h since ≥0.2"")",4.82,3.6,6.0,110,677,4176,1,100,
20250820T1730-dusk,2025-08-20T17:30:00-07:00,dusk,1.0,"post-rain (1h since ≥0.2"")",17.11,5.8,6.3,87,1196,4504,1,100,
20250821T0600-dawn,2025-08-21T06:00:00-07:00,dawn,1.2,"post-rain (1h since ≥0.2"")",10.73,5.3,6.1,91,2063,5582,1,100,
20250821T1730-dusk,2025-08-21T17:30:00-07:00,dusk,1.2,"post-rain (1h since ≥0.2"")",12.22,5.5,6.3,87,1375,5606,1,100,
20250822T0600-dawn,2025-08-22T06:00:00-07:00,dawn,2.1,"post-rain (1h since ≥0.2"")",13.61,5.7,7.0,83,803,5873,1,44,
20250822T1730-dusk,2025-08-22T17:30:00-07:00,dusk,2.2,"post-rain (1h since ≥0.2"")",11.62,5.4,8.0,86,502,6500,1,54,
20250823T0600-dawn,2025-08-23T06:00:00-07:00,dawn,1.9,"post-rain (14h since ≥0.2"")",10.62,5.3,8.6,87,323,7058,14,100,
20250823T1730-dusk,2025-08-23T17:30:00-07:00,dusk,4.0,"post-rain (25h since ≥0.2"")",3.25,4.7,7.6,163,313,8115,25,33,
20250824T0600-dawn,2025-08-24T06:00:00-07:00,dawn,4.0,"post-rain (38h since ≥0.2"")",2.54,4.3,7.4,169,247,8394,38,73,
20250824T1730-dusk,2025-08-24T17:30:00-07:00,dusk,4.0,"post-rain (49h since ≥0.2"")",3.33,3.1,7.6,96,236,7373,49,89,
20250825T0600-dawn,2025-08-25T06:00:00-07:00,dawn,2.2,"post-rain (62h since ≥0.2"")",13.62,6.5,8.8,95,173,6874,62,7,
20250825T1730-dusk,2025-08-25T17:30:00-07:00,dusk,2.3,,11.59,5.6,8.0,90,297,7628,72,1,
20250826T0600-dawn,2025-08-26T06:00:00-07:00,dawn,1.0,,15.18,5.7,7.4,82,1027,7408,72,7,
20250826T1730-dusk,2025-08-26T17:30:00-07:00,dusk,2.3,,7.12,4.4,7.9,97,1070,7207,72,100,
20250827T0600-dawn,2025-08-27T06:00:00-07:00,dawn,3.2,,6.9,5.2,10.8,88,1069,7199,72,30,
20250827T1730-dusk,2025-08-27T17:30:00-07:00,dusk,3.9,,5.39,5.3,11.3,88,871,7779,72,7,
20250828T0600-dawn,2025-08-28T06:00:00-07:00,dawn,5.4,,3.09,3.5,10.4,92,615,7475,72,6,
20250828T1730-dusk,2025-08-28T17:30:00-07:00,dusk,6.1,,2.4,2.6,9.9,92,571,6117,72,38,
20250829T0600-dawn,2025-08-29T06:00:00-07:00,dawn,5.6,,2.87,1.8,9.6,90,728,4674,72,79,
20250829T1730-dusk,2025-08-29T17:30:00-07:00,dusk,7.2,,1.48,1.4,9.7,86,800,3710,72,42,
20250830T0600-dawn,2025-08-30T06:00:00-07:00,dawn,6.1,,4.06,5.5,8.8,165,683,3951,72,0,
20250830T1730-dusk,2025-08-30T17:30:00-07:00,dusk,6.2,,3.6,5.1,8.8,157,496,4759,72,0,
20250831T0600-dawn,2025-08-31T06:00:00-07:00,dawn,6.6,,2.71,4.3,8.3,152,410,5006,72,30,
20250831T1730-dusk,2025-08-31T17:30:00-07:00,dusk,7.5,,1.54,3.2,8.1,154,273,4607,72,38,
20250901T0600-dawn,2025-09-01T06:00:00-07:00,dawn,8.0,,1.12,2.8,8.4,157,240,3894,72,27,
20250901T1730-dusk,2025-09-01T17:30:00-07:00,dusk,7.6,,1.09,2.6,7.2,151,171,3404,72,77,
20250902T0600-dawn,2025-09-02T06:00:00-07:00,dawn,8.4,,0.95,2.4,8.7,155,502,2724,72,0,
20250902T1730-dusk,2025-09-02T17:30:00-07:00,dusk,8.7,,0.67,2.3,9.5,155,382,2209,72,14,
20250903T0600-dawn,2025-09-03T06:00:00-07:00,dawn,7.8,,0.39,1.6,8.3,155,391,1732,72,92,
20250903T1730-dusk,2025-09-03T17:30:00-07:00,dusk,7.6,,0.44,1.3,9.4,155,615,1342,72,98,
20250904T0600-dawn,2025-09-04T06:00:00-07:00,dawn,8.9,,0.14,1.1,9.8,159,468,1002,72,62,
20250904T1730-dusk,2025-09-04T17:30:00-07:00,dusk,8.7,,0.87,2.1,8.8,165,367,835,72,35,
20250905T0600-dawn,2025-09-05T06:00:00-07:00,dawn,6.7,,2.55,3.9,6.7,148,571,1541,72,100,
20250905T1730-dusk,2025-09-05T17:30:00-07:00,dusk,7.2,,1.73,3.3,7.1,148,399,1803,72,76,
20250906T0600-dawn,2025-09-06T06:00:00-07:00,dawn,6.7,,1.78,3.1,9.0,152,1055,2040,72,90,
20250906T1730-dusk,2025-09-06T17:30:00-07:00,dusk,7.7,,1.15,2.9,9.7,155,849,2346,72,6,
20250907T0600-dawn,2025-09-07T06:00:00-07:00,dawn,5.6,,4.33,2.7,4.7,69,1286,2605,72,27,
20250907T1730-dusk,2025-09-07T17:30:00-07:00,dusk,5.7,,3.8,2.6,5.1,70,1248,2855,72,46,
20250908T0600-dawn,2025-09-08T06:00:00-07:00,dawn,6.2,,3.54,2.4,5.3,69,1068,2554,72,9,
20250908T1730-dusk,2025-09-08T17:30:00-07:00,dusk,6.8,,1.62,1.8,6.1,72,887,2181,72,99,
20250909T0600-dawn,2025-09-09T06:00:00-07:00,dawn,7.1,,1.46,1.7,6.2,70,687,1685,72,100,
20250909T1730-dusk,2025-09-09T17:30:00-07:00,dusk,4.0,"post-rain (1h since ≥0.2"")",0.95,2.6,8.3,161,707,1564,1,100,
20250910T0600-dawn,2025-09-10T06:00:00-07:00,dawn,4.0,"post-rain (1h since ≥0.2"")",5.19,4.3,6.1,115,1080,2477,1,45,
20250910T1730-dusk,2025-09-10T17:30:00-07:00,dusk,3.0,"post-rain (1h since ≥0.2"")",6.82,6.2,8.2,153,957,4748,1,100,
