window_key,window_start,window_kind,score,cap_reason,damage,swell_hgt_ft,swell_per_s,swell_dir,wind_energy_48h,swell_energy_72h,dry_hours,cloud_pct,kd490
20250815T0600-dawn,2025-08-15T06:00:00-07:00,dawn,8.8,,1.29,2.1,7.1,36,92,1759,72,21,0.0339
20250815T1730-dusk,2025-08-15T17:30:00-07:00,dusk,8.2,,1.18,1.9,8.3,33,53,1719,72,84,0.0339
20250816T0600-dawn,2025-08-16T06:00:00-07:00,dawn,8.5,,1.06,1.9,8.8,34,44,1839,72,68,0.0339
20250816T1730-dusk,2025-08-16T17:30:00-07:00,dusk,8.7,,1.1,1.8,11.9,185,47,1972,72,45,0.0339
20250817T0600-dawn,2025-08-17T06:00:00-07:00,dawn,8.8,,1.07,1.8,11.7,185,109,2194,72,11,0.0339
20250817T1730-dusk,2025-08-17T17:30:00-07:00,dusk,8.3,,1.44,2.2,6.9,44,166,2215,72,48,0.0339
20250818T0600-dawn,2025-08-18T06:00:00-07:00,dawn,8.4,,1.23,2.2,7.0,43,153,2156,72,51,0.083
20250818T1730-dusk,2025-08-18T17:30:00-07:00,dusk,8.1,,1.18,2.2,6.6,45,110,2052,72,77,0.083
20250819T0600-dawn,2025-08-19T06:00:00-07:00,dawn,8.9,,0.87,1.9,6.5,48,101,1868,72,34,0.083
20250819T1730-dusk,2025-08-19T17:30:00-07:00,dusk,8.7,,1.33,1.8,6.9,50,82,1736,72,25,0.083
20250820T0600-dawn,2025-08-20T06:00:00-07:00,dawn,8.8,,1.17,1.9,6.7,45,166,1624,72,30,0.0992
20250820T1730-dusk,2025-08-20T17:30:00-07:00,dusk,8.5,,1.31,2.0,7.1,47,162,1639,72,55,0.0992
20250821T0600-dawn,2025-08-21T06:00:00-07:00,dawn,7.8,,1.25,2.1,6.6,48,188,1718,72,96,0.04
20250821T1730-dusk,2025-08-21T17:30:00-07:00,dusk,8.6,,0.88,1.8,8.2,92,170,1821,72,61,0.04
20250822T0600-dawn,2025-08-22T06:00:00-07:00,dawn,8.0,,1.18,1.8,9.6,178,120,1743,72,88,0.04
20250822T1730-dusk,2025-08-22T17:30:00-07:00,dusk,8.5,,1.2,1.8,10.7,177,103,1757,72,59,0.04
20250823T0600-dawn,2025-08-23T06:00:00-07:00,dawn,8.9,,1.19,1.8,9.7,176,88,1843,72,0,0.0335
20250823T1730-dusk,2025-08-23T17:30:00-07:00,dusk,7.8,,1.08,1.6,7.8,176,60,1866,72,100,0.0335
20250824T0600-dawn,2025-08-24T06:00:00-07:00,dawn,8.6,,1.55,2.2,10.1,178,92,1803,72,20,0.0335
20250824T1730-dusk,2025-08-24T17:30:00-07:00,dusk,8.1,,0.8,1.9,9.3,136,64,1785,72,95,0.0335
20250825T0600-dawn,2025-08-25T06:00:00-07:00,dawn,8.7,,1.5,2.1,9.4,175,53,1713,72,22,0.03
20250825T1730-dusk,2025-08-25T17:30:00-07:00,dusk,7.9,,1.3,1.8,9.3,176,83,1640,72,95,0.03
20250826T0600-dawn,2025-08-26T06:00:00-07:00,dawn,9.1,,1.07,1.6,8.6,176,51,1497,72,1,0.0915
20250826T1730-dusk,2025-08-26T17:30:00-07:00,dusk,8.1,,0.76,1.4,8.6,172,53,1385,72,100,0.0915
20250827T0600-dawn,2025-08-27T06:00:00-07:00,dawn,9.1,,1.16,1.7,8.8,178,48,1387,72,8,0.0915
20250827T1730-dusk,2025-08-27T17:30:00-07:00,dusk,8.0,,1.22,1.7,9.1,176,42,1376,72,95,0.0915
20250828T0600-dawn,2025-08-28T06:00:00-07:00,dawn,9.1,,1.16,1.9,9.9,175,37,1433,72,6,0.1243
20250828T1730-dusk,2025-08-28T17:30:00-07:00,dusk,8.5,,1.18,2.1,10.8,177,31,1476,72,72,0.1243
20250829T0600-dawn,2025-08-29T06:00:00-07:00,dawn,7.8,,1.33,2.3,10.7,176,40,1630,72,99,0.1243
20250829T1730-dusk,2025-08-29T17:30:00-07:00,dusk,7.8,,1.31,2.3,11.2,177,38,1739,72,97,0.1243
20250830T0600-dawn,2025-08-30T06:00:00-07:00,dawn,7.5,,1.62,2.6,10.9,176,47,1840,72,100,0.1243
20250830T1730-dusk,2025-08-30T17:30:00-07:00,dusk,7.9,,1.65,2.3,10.2,177,61,1976,72,76,0.1243
20250831T0600-dawn,2025-08-31T06:00:00-07:00,dawn,7.7,,1.34,2.0,9.8,176,50,1964,72,100,0.1243
20250831T1730-dusk,2025-08-31T17:30:00-07:00,dusk,7.7,,1.32,1.9,9.3,176,80,1800,72,99,0.1243
20250901T0600-dawn,2025-09-01T06:00:00-07:00,dawn,4.0,"post-rain (1h since ≥0.2"")",1.79,2.2,9.4,176,62,1710,1,63,0.1243
20250901T1730-dusk,2025-09-01T17:30:00-07:00,dusk,4.0,"post-rain (3h since ≥0.2"")",1.83,2.2,9.4,177,53,1831,3,24,0.1243
20250902T0600-dawn,2025-09-02T06:00:00-07:00,dawn,4.0,"post-rain (16h since ≥0.2"")",1.93,2.2,9.1,176,72,2016,16,46,0.1243
20250902T1730-dusk,2025-09-02T17:30:00-07:00,dusk,4.0,"post-rain (27h since ≥0.2"")",1.61,2.0,8.4,176,46,2040,27,100,0.1243
20250903T0600-dawn,2025-09-03T06:00:00-07:00,dawn,4.0,"post-rain (40h since ≥0.2"")",1.27,1.8,8.2,174,38,1966,40,21,0.0295
20250903T1730-dusk,2025-09-03T17:30:00-07:00,dusk,4.0,"post-rain (51h since ≥0.2"")",1.48,1.8,8.6,175,44,1856,51,95,0.0295
20250904T0600-dawn,2025-09-04T06:00:00-07:00,dawn,4.0,"post-rain (64h since ≥0.2"")",0.81,1.4,8.8,174,50,1659,64,18,0.0295
20250904T1730-dusk,2025-09-04T17:30:00-07:00,dusk,8.5,,0.89,1.5,8.2,173,41,1546,72,77,0.0295
20250905T0600-dawn,2025-09-05T06:00:00-07:00,dawn,9.3,,0.64,1.3,7.1,168,36,1258,72,8,0.0322
20250905T1730-dusk,2025-09-05T17:30:00-07:00,dusk,8.3,,0.45,1.0,8.5,172,34,1052,72,100,0.0322
20250906T0600-dawn,2025-09-06T06:00:00-07:00,dawn,9.3,,0.52,1.3,8.0,166,68,994,72,46,0.028
20250906T1730-dusk,2025-09-06T17:30:00-07:00,dusk,8.4,,0.4,1.6,13.6,186,98,1023,72,98,0.028
20250907T0600-dawn,2025-09-07T06:00:00-07:00,dawn,4.0,"post-rain (1h since ≥0.2"")",0.94,2.2,12.7,184,85,1307,1,44,0.028
20250907T1730-dusk,2025-09-07T17:30:00-07:00,dusk,4.0,"post-rain (1h since ≥0.2"")",1.49,2.5,11.6,183,100,1738,1,61,0.028
20250908T0600-dawn,2025-09-08T06:00:00-07:00,dawn,4.0,"post-rain (1h since ≥0.2"")",1.45,2.4,11.3,183,76,1977,1,2,0.0282
20250908T1730-dusk,2025-09-08T17:30:00-07:00,dusk,4.0,"post-rain (1h since ≥0.2"")",1.22,2.2,11.0,182,51,1992,1,41,0.0282
20250909T0600-dawn,2025-09-09T06:00:00-07:00,dawn,4.0,"post-rain (7h since ≥0.2"")",1.47,2.3,10.7,181,62,1927,7,76,0.0282
20250909T1730-dusk,2025-09-09T17:30:00-07:00,dusk,4.0,"post-rain (18h since ≥0.2"")",1.28,2.5,9.7,133,107,2044,18,61,0.0282
20250910T0600-dawn,2025-09-10T06:00:00-07:00,dawn,4.0,"post-rain (31h since ≥0.2"")",1.55,2.8,9.2,130,124,2859,31,88,0.0325
20250910T1730-dusk,2025-09-10T17:30:00-07:00,dusk,4.0,"post-rain (42h since ≥0.2"")",1.36,2.4,7.0,49,133,2841,42,79,0.0325
20250911T0600-dawn,2025-09-11T06:00:00-07:00,dawn,4.0,"post-rain (55h since ≥0.2"")",1.17,1.8,9.9,181,88,2502,55,58,0.2125
20250911T1730-dusk,2025-09-11T17:30:00-07:00,dusk,4.0,"post-rain (66h since ≥0.2"")",1.09,2.0,6.4,50,51,2226,66,98,0.2125
