date,kd490
2025-08-10,0.0857
2025-08-11,0.296
2025-08-12,0.0685
2025-08-13,0.952
2025-08-16,0.1405
2025-08-17,0.081
2025-08-18,0.0893
2025-08-19,0.0848
2025-08-21,0.071
2025-08-23,0.0795
2025-08-24,0.1031
2025-08-25,0.1065
2025-08-26,0.0619
2025-08-27,0.1047
2025-08-29,0.0922
2025-08-30,0.0768
2025-08-31,0.102
2025-09-01,0.0628
2025-09-02,0.062
2025-09-03,0.0647
2025-09-04,0.088
2025-09-05,0.0895
2025-09-06,0.0873
2025-09-07,0.0943
2025-09-08,0.0859
2025-09-09,0.0919
2025-09-10,0.0825
2025-09-11,0.089
2025-09-12,0.0859
2025-09-13,0.0713
2025-09-14,0.0795
2025-09-15,0.0724
2025-09-16,0.1027
2025-09-18,0.0716
2025-09-19,0.0531
2025-09-22,0.0982
2025-09-23,0.1358
2025-09-24,0.1024
2025-09-25,0.169
2025-09-27,0.0781
2025-09-28,0.0821
2025-09-29,0.0909
2025-09-30,0.1009
2025-10-01,0.0959
2025-10-02,0.0777
2025-10-04,0.0815
2025-10-05,0.0885
2025-10-06,0.0724
2025-10-07,0.0823
2025-10-08,0.0785
2025-10-09,0.0415
2025-10-10,0.1296
2025-10-11,0.1466
2025-10-12,0.1215
2025-10-13,0.113
2025-10-15,0.0928
2025-10-16,0.1053
2025-10-17,0.1169
2025-10-18,0.1258
2025-10-19,0.1537
2025-10-20,0.1344
2025-10-21,0.1158
2025-10-22,0.1084
2025-10-23,0.113
2025-10-24,0.6564
2025-10-25,0.1315
2025-10-26,0.1252
2025-10-27,0.1142
2025-10-28,0.0948
2025-10-29,0.0924
2025-10-30,0.0868
2025-10-31,0.12
2025-11-01,0.145
2025-11-02,0.1215
2025-11-03,0.0827
2025-11-04,0.1162
2025-11-05,0.0739
2025-11-06,0.0719
2025-11-07,0.103
2025-11-08,0.245
2025-11-09,0.24
2025-11-10,0.269
2025-11-13,0.0958
2025-11-16,0.0907
2025-11-17,0.1942
2025-11-18,0.101
2025-11-19,0.1119
2025-11-21,0.0955
2025-11-22,0.1665
2025-11-23,0.0936
2025-11-24,0.0881
2025-11-25,0.1155
2025-11-26,0.1152
2025-11-27,0.1502
2025-11-28,0.1052
2025-11-29,0.0963
2025-11-30,0.3105
2025-12-01,0.0918
2025-12-02,0.1189
2025-12-03,0.0902
2025-12-04,0.089
2025-12-05,0.1032
2025-12-06,0.0849
2025-12-07,0.0957
2025-12-08,0.0749
2025-12-09,0.0774
2025-12-10,0.0712
2025-12-11,0.0813
2025-12-13,0.0811
2025-12-14,0.347
2025-12-16,0.0557
2025-12-17,0.1382
2025-12-18,0.187
2025-12-21,0.0771
2025-12-25,0.1562
2025-12-27,0.0968
2025-12-28,0.1224
2025-12-29,0.1202
2026-01-01,0.0787
2026-01-05,0.0944
2026-01-07,0.1293
2026-01-09,0.1022
2026-01-10,0.1049
2026-01-11,0.1163
2026-01-12,0.1097
2026-01-13,0.1362
2026-01-14,0.0821
2026-01-15,0.1198
2026-01-16,0.1053
2026-01-17,0.0705
2026-01-18,0.0846
2026-01-19,0.0841
2026-01-20,0.064
2026-01-23,0.0596
2026-01-25,0.0813
2026-01-26,0.0793
